Age,Gender,ItemPurchased,Category,PurchaseAmount(USD),Location,Color,Season
59,Male,Skirt,Clothing,59,Vermont,Gray,Winter
42,Male,T-shirt,Clothing,20,Alaska,Green,Summer
29,Male,Skirt,Clothing,24,Mississippi,Peach,Winter
47,Male,Coat,Outerwear,94,New Mexico,Brown,Summer
40,Male,Jacket,Outerwear,28,South Carolina,Lavender,Winter
41,Male,Backpack,Accessories,73,Mississippi,Brown,Summer
21,Male,Coat,Outerwear,64,West Virginia,White,Summer
69,Male,Hoodie,Clothing,54,Missouri,Charcoal,Summer
63,Male,Belt,Accessories,79,Louisiana,Yellow,Spring
50,Male,Sweater,Clothing,37,Idaho,Brown,Summer
55,Male,Scarf,Accessories,68,Texas,Orange,Winter
30,Male,Sneakers,Footwear,21,Mississippi,Magenta,Spring
33,Male,Sunglasses,Accessories,79,Arizona,Lavender,Winter
65,Male,Boots,Footwear,83,Alabama,Green,Fall
65,Male,Backpack,Accessories,36,New Jersey,Purple,Spring
31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,Winter
45,Male,Coat,Outerwear,33,Connecticut,Gray,Winter
57,Male,Handbag,Accessories,46,Utah,Silver,Summer
48,Male,Belt,Accessories,70,Tennessee,Cyan,Summer
22,Male,Belt,Accessories,29,Alabama,Magenta,Fall
36,Male,Dress,Clothing,48,Virginia,Gold,Summer
18,Male,Dress,Clothing,26,Georgia,Olive,Winter
48,Male,Pants,Clothing,85,Hawaii,Teal,Spring
49,Male,Gloves,Accessories,58,Indiana,Violet,Spring
64,Male,Scarf,Accessories,85,Utah,Blue,Summer
50,Male,Hat,Accessories,43,Delaware,Teal,Summer
22,Male,Dress,Clothing,53,Delaware,Gold,Summer
50,Male,Skirt,Clothing,91,Nebraska,Maroon,Spring
38,Male,Jacket,Outerwear,96,Iowa,Olive,Winter
19,Male,Sandals,Footwear,72,New York,Blue,Summer
67,Male,Shoes,Footwear,96,Virginia,Maroon,Summer
19,Male,Pants,Clothing,28,Georgia,Olive,Spring
36,Male,Dress,Clothing,40,Texas,Turquoise,Summer
52,Male,Coat,Outerwear,32,Arizona,Peach,Spring
53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,Winter
24,Male,Hoodie,Clothing,41,Nevada,Pink,Spring
52,Male,Shoes,Footwear,53,Ohio,Green,Fall
33,Male,T-shirt,Clothing,47,Wyoming,Orange,Fall
47,Male,Jacket,Outerwear,83,California,Pink,Fall
25,Male,Hat,Accessories,48,South Carolina,Violet,Summer
44,Male,Scarf,Accessories,99,South Carolina,Green,Winter
61,Male,Jacket,Outerwear,87,Texas,Olive,Winter
37,Male,Sweater,Clothing,62,Florida,Purple,Fall
58,Male,Skirt,Clothing,76,Nevada,Silver,Spring
37,Male,Sneakers,Footwear,100,Missouri,Pink,Fall
32,Male,Gloves,Accessories,73,Delaware,Gold,Spring
21,Male,Shoes,Footwear,92,Virginia,Teal,Winter
20,Male,Jeans,Clothing,67,New York,Teal,Spring
26,Male,Hoodie,Clothing,40,Missouri,Indigo,Summer
62,Male,Sunglasses,Accessories,98,South Dakota,Maroon,Fall
27,Male,Coat,Outerwear,85,North Dakota,White,Spring
51,Male,Socks,Clothing,67,Oklahoma,Violet,Winter
54,Male,Boots,Footwear,89,West Virginia,Red,Winter
55,Male,Sunglasses,Accessories,24,New Hampshire,Pink,Spring
69,Male,Backpack,Accessories,96,New York,Charcoal,Fall
64,Male,Jacket,Outerwear,35,Minnesota,White,Summer
28,Male,Sneakers,Footwear,67,Maryland,Olive,Winter
70,Male,Socks,Clothing,79,Montana,Purple,Spring
58,Male,T-shirt,Clothing,85,Alabama,Violet,Spring
56,Male,Backpack,Accessories,26,New York,Black,Summer
26,Male,Belt,Accessories,75,Massachusetts,Purple,Summer
37,Male,Gloves,Accessories,65,Florida,Red,Spring
44,Male,Hat,Accessories,54,New Jersey,Maroon,Winter
70,Male,Coat,Outerwear,95,Massachusetts,Blue,Summer
53,Male,Skirt,Clothing,94,Wyoming,Gray,Spring
55,Male,Shoes,Footwear,86,Virginia,Blue,Spring
50,Male,Sandals,Footwear,32,South Dakota,Yellow,Summer
50,Male,Sweater,Clothing,45,Kentucky,Orange,Fall
38,Male,Coat,Outerwear,76,Wyoming,Orange,Fall
64,Male,Hat,Accessories,84,West Virginia,Red,Summer
19,Male,Shorts,Clothing,72,Virginia,Olive,Winter
40,Male,Backpack,Accessories,40,Washington,Brown,Spring
57,Male,Sweater,Clothing,89,Louisiana,Brown,Fall
44,Male,Sweater,Clothing,86,Nevada,Gray,Spring
49,Male,Shorts,Clothing,54,California,Indigo,Winter
43,Male,Shorts,Clothing,36,Mississippi,Pink,Spring
24,Male,Sweater,Clothing,89,Mississippi,Gray,Winter
20,Male,Scarf,Accessories,32,California,Gold,Spring
24,Male,Dress,Clothing,67,Pennsylvania,Olive,Summer
44,Male,Scarf,Accessories,39,Kentucky,Violet,Fall
28,Male,Skirt,Clothing,29,Maine,Indigo,Summer
30,Male,Backpack,Accessories,58,New Mexico,Orange,Fall
52,Male,Sweater,Clothing,65,Montana,Violet,Winter
43,Male,Hat,Accessories,94,Texas,Gray,Fall
43,Male,Sandals,Footwear,81,Kansas,Purple,Fall
39,Male,Blouse,Clothing,86,South Carolina,White,Winter
68,Male,Sneakers,Footwear,43,Colorado,Turquoise,Spring
68,Male,Skirt,Clothing,29,Georgia,Maroon,Winter
49,Male,Coat,Outerwear,95,Florida,White,Fall
63,Male,Shirt,Clothing,28,North Carolina,Yellow,Fall
56,Male,Gloves,Accessories,46,Virginia,Turquoise,Fall
37,Male,Jacket,Outerwear,58,Nebraska,Violet,Fall
30,Male,Coat,Outerwear,48,Missouri,Beige,Fall
19,Male,Shoes,Footwear,43,New Jersey,Silver,Fall
24,Male,Jewelry,Accessories,95,Missouri,Teal,Fall
52,Male,Skirt,Clothing,30,Colorado,Black,Fall
63,Male,Shoes,Footwear,64,Idaho,Purple,Summer
37,Male,Gloves,Accessories,90,Wyoming,Gray,Fall
38,Male,Pants,Clothing,76,Delaware,White,Summer
35,Male,Boots,Footwear,96,California,Cyan,Fall
28,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,Fall
30,Male,Shirt,Clothing,85,South Carolina,Brown,Summer
69,Male,Hoodie,Clothing,55,North Carolina,Maroon,Winter
41,Male,Dress,Clothing,98,Oklahoma,Charcoal,Fall
63,Male,Socks,Clothing,77,Maine,Olive,Spring
35,Male,Shorts,Clothing,26,Missouri,Lavender,Fall
36,Male,Hat,Accessories,68,Vermont,Yellow,Fall
25,Male,Shirt,Clothing,73,Connecticut,Teal,Fall
58,Male,Gloves,Accessories,27,New Hampshire,Charcoal,Fall
27,Male,Gloves,Accessories,23,Texas,Orange,Summer
65,Male,Backpack,Accessories,49,North Dakota,Olive,Fall
54,Male,Sunglasses,Accessories,74,California,Turquoise,Summer
54,Male,Skirt,Clothing,67,Virginia,Purple,Summer
59,Male,Handbag,Accessories,65,Delaware,Purple,Spring
42,Male,Handbag,Accessories,60,Kentucky,Yellow,Winter
46,Male,Sneakers,Footwear,31,Delaware,Indigo,Fall
33,Male,Gloves,Accessories,27,Arkansas,Green,Fall
34,Male,Shoes,Footwear,80,Louisiana,Magenta,Summer
27,Male,Jacket,Outerwear,30,Nevada,Gold,Summer
52,Male,Shirt,Clothing,25,Wyoming,Maroon,Fall
29,Male,Shorts,Clothing,35,Virginia,Blue,Summer
54,Male,Jewelry,Accessories,67,Nebraska,Violet,Summer
25,Male,Hat,Accessories,46,Hawaii,Turquoise,Fall
41,Male,Shoes,Footwear,35,Vermont,Brown,Winter
53,Male,Coat,Outerwear,86,Oklahoma,Violet,Fall
53,Male,Backpack,Accessories,81,New Hampshire,Black,Spring
21,Male,Hoodie,Clothing,42,Kansas,Magenta,Fall
61,Male,Skirt,Clothing,43,Idaho,Lavender,Fall
64,Male,Boots,Footwear,31,Illinois,Violet,Fall
51,Male,Sandals,Footwear,81,South Dakota,Green,Fall
32,Male,Pants,Clothing,61,Massachusetts,Beige,Summer
38,Male,Gloves,Accessories,96,Alabama,Purple,Summer
58,Male,Skirt,Clothing,29,Ohio,Beige,Spring
32,Male,Sneakers,Footwear,33,Hawaii,Cyan,Spring
46,Male,T-shirt,Clothing,32,Wisconsin,Silver,Summer
39,Male,Backpack,Accessories,56,Minnesota,Lavender,Summer
19,Male,Shoes,Footwear,94,Georgia,Purple,Spring
50,Male,Hoodie,Clothing,53,Arkansas,Pink,Spring
36,Male,Blouse,Clothing,82,West Virginia,Maroon,Fall
65,Male,Coat,Outerwear,70,Indiana,Beige,Fall
64,Male,Hat,Accessories,76,Utah,Gray,Fall
46,Male,Shoes,Footwear,29,Nebraska,Turquoise,Summer
36,Male,Belt,Accessories,100,North Dakota,Silver,Fall
51,Male,Backpack,Accessories,94,Missouri,Olive,Spring
51,Male,Jacket,Outerwear,25,New York,Magenta,Fall
38,Male,Boots,Footwear,88,Washington,Lavender,Summer
59,Male,Scarf,Accessories,78,South Carolina,Black,Fall
57,Male,Jewelry,Accessories,45,Utah,Turquoise,Winter
54,Male,Hat,Accessories,73,Idaho,Green,Summer
25,Male,Dress,Clothing,61,Pennsylvania,Teal,Summer
69,Male,Blouse,Clothing,22,Missouri,Beige,Fall
57,Male,Hat,Accessories,38,Nebraska,Magenta,Spring
70,Male,Scarf,Accessories,38,Indiana,Yellow,Fall
24,Male,Sneakers,Footwear,100,Arizona,Yellow,Fall
67,Male,Shirt,Clothing,64,Hawaii,Silver,Winter
24,Male,T-shirt,Clothing,55,Wisconsin,Silver,Summer
62,Male,Gloves,Accessories,91,Rhode Island,Silver,Summer
57,Male,Skirt,Clothing,38,Wisconsin,Gold,Spring
55,Male,Sandals,Footwear,97,Minnesota,Olive,Winter
45,Male,Jacket,Outerwear,22,Vermont,Teal,Fall
69,Male,Skirt,Clothing,92,South Dakota,Maroon,Fall
67,Male,Handbag,Accessories,84,Virginia,Blue,Fall
30,Male,Handbag,Accessories,93,Nevada,Peach,Fall
24,Male,Jacket,Outerwear,50,Hawaii,Blue,Summer
62,Male,Scarf,Accessories,64,New Jersey,Orange,Spring
43,Male,Shorts,Clothing,61,Massachusetts,Yellow,Spring
35,Male,Sunglasses,Accessories,48,Oklahoma,Purple,Winter
28,Male,T-shirt,Clothing,45,California,Magenta,Spring
32,Male,Belt,Accessories,88,Nevada,Cyan,Spring
39,Male,Sneakers,Footwear,57,Arizona,Indigo,Spring
28,Male,Hat,Accessories,68,North Carolina,Magenta,Summer
47,Male,Gloves,Accessories,94,New York,Gray,Spring
20,Male,Pants,Clothing,41,Wyoming,Turquoise,Spring
63,Male,Socks,Clothing,83,South Dakota,Beige,Summer
25,Male,Jacket,Outerwear,22,Arkansas,Olive,Spring
29,Male,Shoes,Footwear,74,Texas,Violet,Spring
50,Male,Jeans,Clothing,90,Rhode Island,Turquoise,Winter
18,Male,Socks,Clothing,79,New Hampshire,White,Spring
70,Male,Sandals,Footwear,28,Ohio,Silver,Spring
66,Male,Scarf,Accessories,88,Utah,Olive,Fall
28,Male,Blouse,Clothing,26,Tennessee,Blue,Spring
54,Male,Jewelry,Accessories,27,Hawaii,Purple,Winter
19,Male,Sweater,Clothing,83,Arizona,Yellow,Fall
20,Male,Gloves,Accessories,39,South Dakota,Silver,Summer
43,Male,Sunglasses,Accessories,89,New Jersey,Cyan,Winter
38,Male,Coat,Outerwear,68,North Dakota,Green,Winter
50,Male,Dress,Clothing,90,Iowa,Beige,Summer
64,Male,Skirt,Clothing,34,Ohio,Peach,Fall
49,Male,Pants,Clothing,51,Vermont,Yellow,Summer
47,Male,Sweater,Clothing,45,Montana,Turquoise,Winter
36,Male,Hoodie,Clothing,88,Delaware,Peach,Winter
55,Male,Coat,Outerwear,85,New York,Gray,Summer
25,Male,Jewelry,Accessories,100,Kentucky,Olive,Winter
53,Male,Belt,Accessories,42,Oregon,Indigo,Spring
49,Male,Sandals,Footwear,53,Rhode Island,Charcoal,Summer
35,Male,Sunglasses,Accessories,86,Nevada,Beige,Spring
29,Male,Sweater,Clothing,66,Montana,Brown,Spring
47,Male,Belt,Accessories,100,Pennsylvania,Blue,Winter
53,Male,Handbag,Accessories,47,Alaska,Teal,Fall
33,Male,Skirt,Clothing,25,Mississippi,Black,Fall
21,Male,Handbag,Accessories,51,Wyoming,Gold,Winter
32,Male,Shorts,Clothing,41,Delaware,Violet,Summer
52,Male,Boots,Footwear,73,Oklahoma,Cyan,Winter
67,Male,Sunglasses,Accessories,42,Indiana,White,Winter
43,Male,Scarf,Accessories,20,Maryland,Charcoal,Spring
58,Male,Jewelry,Accessories,30,South Dakota,Violet,Spring
20,Male,Handbag,Accessories,53,West Virginia,Red,Summer
61,Male,Gloves,Accessories,74,Alabama,Lavender,Spring
32,Male,Jeans,Clothing,57,Louisiana,Gold,Fall
38,Male,Hat,Accessories,57,Montana,Red,Winter
21,Male,Jeans,Clothing,77,California,Magenta,Winter
37,Male,Pants,Clothing,40,Hawaii,Teal,Summer
27,Male,Shorts,Clothing,46,Iowa,Purple,Summer
36,Male,Pants,Clothing,78,Colorado,Charcoal,Fall
32,Male,Backpack,Accessories,59,Michigan,Gray,Spring
51,Male,Jewelry,Accessories,75,Louisiana,White,Summer
64,Male,Sweater,Clothing,54,Maryland,Olive,Spring
68,Male,Shoes,Footwear,42,Georgia,Charcoal,Spring
68,Male,Blouse,Clothing,44,Georgia,Charcoal,Winter
33,Male,Jeans,Clothing,52,North Dakota,Orange,Fall
65,Male,Sunglasses,Accessories,69,Maryland,Yellow,Summer
48,Male,Jewelry,Accessories,26,Oregon,Beige,Summer
69,Male,Coat,Outerwear,33,North Dakota,Silver,Spring
59,Male,Jewelry,Accessories,32,Maryland,Indigo,Spring
48,Male,Backpack,Accessories,85,Virginia,Lavender,Winter
25,Male,Skirt,Clothing,30,South Dakota,Turquoise,Fall
29,Male,Shirt,Clothing,29,Georgia,Green,Winter
57,Male,Sweater,Clothing,95,Hawaii,Orange,Spring
23,Male,Sneakers,Footwear,69,Arkansas,Turquoise,Summer
45,Male,Sandals,Footwear,69,Montana,Cyan,Fall
38,Male,Belt,Accessories,61,Oklahoma,Charcoal,Spring
21,Male,Skirt,Clothing,94,Minnesota,Teal,Summer
32,Male,Sweater,Clothing,30,Montana,Maroon,Fall
63,Male,Skirt,Clothing,45,Ohio,Red,Summer
29,Male,Handbag,Accessories,39,Kentucky,Yellow,Summer
27,Male,Jewelry,Accessories,51,Nebraska,Gray,Summer
56,Male,Scarf,Accessories,37,Delaware,Blue,Spring
30,Male,T-shirt,Clothing,62,North Carolina,Lavender,Winter
49,Male,Coat,Outerwear,85,New York,Yellow,Fall
58,Male,T-shirt,Clothing,33,Colorado,Indigo,Winter
57,Male,Dress,Clothing,26,Delaware,Violet,Fall
60,Male,Shoes,Footwear,99,Utah,Green,Spring
69,Male,Handbag,Accessories,39,Connecticut,White,Spring
70,Male,Skirt,Clothing,20,New Jersey,Gold,Spring
53,Male,Sunglasses,Accessories,42,West Virginia,Indigo,Winter
25,Male,Sandals,Footwear,74,Indiana,Lavender,Spring
48,Male,Shoes,Footwear,26,Delaware,Purple,Summer
69,Male,T-shirt,Clothing,53,Maryland,Lavender,Winter
25,Male,Sneakers,Footwear,80,Pennsylvania,Maroon,Summer
29,Male,Hat,Accessories,98,Iowa,Teal,Spring
46,Male,Skirt,Clothing,95,Pennsylvania,Green,Spring
37,Male,Sweater,Clothing,44,Delaware,Olive,Summer
20,Male,Sandals,Footwear,60,Oregon,Turquoise,Summer
40,Male,Dress,Clothing,84,Oregon,Green,Winter
60,Male,Sweater,Clothing,59,Utah,Teal,Fall
26,Male,Jacket,Outerwear,49,North Dakota,White,Summer
29,Male,Gloves,Accessories,32,Florida,Orange,Winter
66,Male,Handbag,Accessories,29,Maryland,Beige,Fall
66,Male,Dress,Clothing,22,Minnesota,Yellow,Spring
56,Male,Pants,Clothing,85,Montana,Charcoal,Winter
69,Male,Jeans,Clothing,52,Rhode Island,Silver,Winter
38,Male,Pants,Clothing,89,Massachusetts,Green,Spring
42,Male,Dress,Clothing,77,Vermont,Pink,Spring
30,Male,Pants,Clothing,24,New Jersey,Purple,Summer
66,Male,Jewelry,Accessories,24,Wisconsin,Orange,Spring
36,Male,Handbag,Accessories,22,California,Charcoal,Fall
58,Male,Sweater,Clothing,82,West Virginia,Teal,Fall
45,Male,Backpack,Accessories,67,South Dakota,Beige,Winter
47,Male,Shorts,Clothing,74,Maine,White,Spring
66,Male,Jewelry,Accessories,72,Kansas,White,Summer
41,Male,Sneakers,Footwear,36,Vermont,Orange,Summer
41,Male,Belt,Accessories,95,Tennessee,Cyan,Winter
66,Male,Hoodie,Clothing,78,Tennessee,Orange,Winter
37,Male,Shirt,Clothing,82,Wyoming,Olive,Summer
70,Male,Pants,Clothing,70,Vermont,Charcoal,Winter
62,Male,Scarf,Accessories,41,New Jersey,White,Fall
61,Male,Coat,Outerwear,42,Iowa,Teal,Summer
48,Male,Coat,Outerwear,50,Florida,Yellow,Fall
70,Male,Socks,Clothing,31,Nevada,White,Summer
46,Male,Sweater,Clothing,51,North Dakota,Beige,Winter
31,Male,Shirt,Clothing,98,Florida,Beige,Fall
19,Male,Shirt,Clothing,86,New York,Maroon,Winter
39,Male,Sweater,Clothing,64,Alaska,Teal,Winter
41,Male,Blouse,Clothing,46,Kansas,Lavender,Fall
20,Male,Sweater,Clothing,85,Oregon,Maroon,Spring
36,Male,Hat,Accessories,81,Rhode Island,Orange,Fall
32,Male,Sweater,Clothing,59,New Mexico,Cyan,Winter
69,Male,Hoodie,Clothing,79,Massachusetts,Silver,Winter
40,Male,Shorts,Clothing,33,Pennsylvania,Teal,Spring
40,Male,Shorts,Clothing,47,New Jersey,Blue,Summer
20,Male,Hat,Accessories,20,Utah,Blue,Summer
64,Male,Coat,Outerwear,36,Kentucky,Olive,Spring
27,Male,Sandals,Footwear,39,Nebraska,Purple,Summer
24,Male,Skirt,Clothing,71,Virginia,Charcoal,Winter
48,Male,Shoes,Footwear,59,Wyoming,Olive,Winter
49,Male,Jeans,Clothing,50,New Mexico,Violet,Spring
36,Male,Sandals,Footwear,41,Oregon,Red,Fall
56,Male,Blouse,Clothing,59,South Carolina,Beige,Fall
37,Male,Hat,Accessories,87,Arizona,Green,Winter
42,Male,Sweater,Clothing,68,Kentucky,Violet,Spring
28,Male,Skirt,Clothing,90,New York,Teal,Winter
27,Male,Jeans,Clothing,71,Texas,Yellow,Fall
63,Male,Sneakers,Footwear,64,Missouri,Yellow,Fall
58,Male,Jewelry,Accessories,76,Pennsylvania,Olive,Fall
37,Male,Jewelry,Accessories,42,Oregon,Magenta,Fall
56,Male,Pants,Clothing,80,Nevada,Black,Spring
18,Male,Belt,Accessories,56,Arkansas,Olive,Spring
48,Male,Hat,Accessories,25,Minnesota,Magenta,Summer
31,Male,Sneakers,Footwear,74,Georgia,Olive,Winter
51,Male,Pants,Clothing,30,Rhode Island,Teal,Summer
65,Male,T-shirt,Clothing,96,Nevada,White,Spring
53,Male,Sneakers,Footwear,64,Texas,Charcoal,Fall
55,Male,Shorts,Clothing,88,Florida,Yellow,Winter
62,Male,Shoes,Footwear,88,North Dakota,Charcoal,Summer
55,Male,Gloves,Accessories,88,West Virginia,Gray,Summer
64,Male,Socks,Clothing,36,Nebraska,Turquoise,Spring
52,Male,Dress,Clothing,40,Tennessee,Cyan,Spring
24,Male,Handbag,Accessories,39,Oklahoma,Charcoal,Spring
38,Male,Belt,Accessories,40,Wisconsin,Silver,Summer
59,Male,Scarf,Accessories,34,Oregon,Olive,Winter
27,Male,Sneakers,Footwear,83,North Carolina,Pink,Winter
24,Male,Sweater,Clothing,85,Pennsylvania,Orange,Summer
23,Male,Coat,Outerwear,27,North Dakota,White,Summer
69,Male,Jewelry,Accessories,78,Ohio,Purple,Spring
59,Male,Sunglasses,Accessories,32,Oklahoma,Olive,Summer
51,Male,Shoes,Footwear,51,South Carolina,Gray,Fall
63,Male,Scarf,Accessories,32,Maine,Silver,Spring
54,Male,Dress,Clothing,62,Nevada,Orange,Winter
32,Male,T-shirt,Clothing,29,Montana,Magenta,Fall
39,Male,Backpack,Accessories,69,New Hampshire,Beige,Fall
66,Male,Jewelry,Accessories,25,Maine,Lavender,Winter
28,Male,Jeans,Clothing,76,California,Peach,Winter
50,Male,Sunglasses,Accessories,77,West Virginia,Magenta,Fall
70,Male,Sweater,Clothing,33,California,Beige,Fall
67,Male,Shorts,Clothing,93,West Virginia,Yellow,Fall
64,Male,Jewelry,Accessories,39,Louisiana,Brown,Spring
45,Male,Coat,Outerwear,93,Georgia,Silver,Summer
22,Male,Handbag,Accessories,82,Washington,Orange,Summer
27,Male,Boots,Footwear,42,Virginia,Purple,Spring
25,Male,Gloves,Accessories,71,Indiana,Indigo,Winter
37,Male,Sweater,Clothing,86,Minnesota,Gray,Spring
26,Male,T-shirt,Clothing,82,Idaho,Black,Spring
33,Male,Shoes,Footwear,65,Vermont,Maroon,Fall
43,Male,Scarf,Accessories,29,North Dakota,Beige,Spring
37,Male,Sneakers,Footwear,65,Rhode Island,Brown,Winter
46,Male,Dress,Clothing,88,South Carolina,Black,Fall
22,Male,Belt,Accessories,46,Mississippi,Indigo,Fall
20,Male,Boots,Footwear,67,Montana,Silver,Winter
60,Male,Scarf,Accessories,35,Idaho,Blue,Fall
39,Male,Boots,Footwear,66,Utah,Green,Winter
43,Male,T-shirt,Clothing,91,Oklahoma,Orange,Fall
31,Male,Backpack,Accessories,78,California,Cyan,Fall
19,Male,Sneakers,Footwear,45,Nevada,Orange,Winter
35,Male,T-shirt,Clothing,93,Delaware,Indigo,Spring
41,Male,Jeans,Clothing,74,South Carolina,Silver,Summer
52,Male,Gloves,Accessories,55,Maryland,Peach,Spring
45,Male,Hoodie,Clothing,76,North Carolina,Teal,Spring
34,Male,Sneakers,Footwear,66,Alabama,White,Spring
35,Male,Shorts,Clothing,51,Minnesota,Brown,Winter
29,Male,Sweater,Clothing,26,Virginia,Lavender,Spring
59,Male,Jeans,Clothing,29,Michigan,Indigo,Summer
24,Male,Jacket,Outerwear,74,Maine,Yellow,Summer
70,Male,Jewelry,Accessories,99,Nevada,White,Summer
29,Male,Backpack,Accessories,88,Wyoming,Violet,Winter
67,Male,Coat,Outerwear,31,Connecticut,Lavender,Winter
36,Male,Belt,Accessories,55,Oregon,Olive,Spring
23,Male,Sandals,Footwear,81,Mississippi,Beige,Fall
18,Male,Sweater,Clothing,73,Illinois,Purple,Spring
53,Male,Shorts,Clothing,91,Utah,Teal,Winter
32,Male,Socks,Clothing,54,North Carolina,Peach,Spring
38,Male,Shirt,Clothing,40,Kentucky,Violet,Winter
47,Male,Pants,Clothing,59,Minnesota,Purple,Fall
46,Male,Scarf,Accessories,26,New York,Teal,Spring
66,Male,Sweater,Clothing,23,Illinois,Gold,Winter
40,Male,Jeans,Clothing,87,North Dakota,Teal,Winter
43,Male,Pants,Clothing,71,Louisiana,Violet,Winter
58,Male,Backpack,Accessories,91,Illinois,Black,Winter
21,Male,Coat,Outerwear,64,Wyoming,Gold,Winter
42,Male,Sandals,Footwear,94,Washington,Gold,Winter
24,Male,Shirt,Clothing,40,Texas,Brown,Summer
43,Male,Hat,Accessories,76,New Hampshire,Cyan,Winter
47,Male,Shirt,Clothing,86,Indiana,Indigo,Fall
49,Male,Skirt,Clothing,92,Alabama,Orange,Fall
50,Male,Shoes,Footwear,52,Oklahoma,Pink,Spring
51,Male,Coat,Outerwear,28,Montana,Olive,Winter
40,Male,Pants,Clothing,46,Tennessee,Cyan,Summer
45,Male,Jewelry,Accessories,50,New Mexico,Peach,Summer
52,Male,Belt,Accessories,23,Iowa,Turquoise,Winter
62,Male,Jacket,Outerwear,50,Idaho,Turquoise,Summer
20,Male,Shirt,Clothing,89,Oklahoma,Maroon,Winter
43,Male,Hoodie,Clothing,81,Florida,Maroon,Winter
29,Male,Sunglasses,Accessories,69,Michigan,Olive,Fall
22,Male,Sunglasses,Accessories,67,Hawaii,Magenta,Summer
48,Male,Dress,Clothing,20,California,Red,Summer
42,Male,Boots,Footwear,29,Iowa,Olive,Fall
19,Male,Shirt,Clothing,74,West Virginia,Silver,Summer
60,Male,Shorts,Clothing,82,Washington,Turquoise,Spring
32,Male,Gloves,Accessories,23,Missouri,Yellow,Summer
26,Male,Jewelry,Accessories,45,New York,Peach,Summer
25,Male,Boots,Footwear,21,Connecticut,Beige,Summer
66,Male,Jewelry,Accessories,31,Virginia,Pink,Summer
45,Male,Pants,Clothing,45,Missouri,Violet,Summer
54,Male,Jewelry,Accessories,56,Nebraska,Peach,Winter
